member_name	member_size	summary_type	primary_count	secondary_count	third_count	notes
GSM7844837_Pt13_T1_matrix.mtx.gz	20133061	matrix_market_dimensions	29569	4471	6597821	
GSM7844838_Pt13_Z1_barcodes.tsv.gz	37883	not_parsed				
GSM7844838_Pt13_Z1_features.tsv.gz	215711	not_parsed				
GSM7844838_Pt13_Z1_matrix.mtx.gz	26248539	matrix_market_dimensions	29922	8136	8524519	
GSM7844839_Pt15_T1_barcodes.tsv.gz	53598	not_parsed				
GSM7844839_Pt15_T1_features.tsv.gz	212926	not_parsed				
GSM7844839_Pt15_T1_matrix.mtx.gz	45051657	matrix_market_dimensions	29569	11377	14743655	
GSM7844840_Pt15_T2_barcodes.tsv.gz	26660	not_parsed				
GSM7844840_Pt15_T2_features.tsv.gz	212926	not_parsed				
GSM7844840_Pt15_T2_matrix.mtx.gz	45712494	matrix_market_dimensions	29569	5752	15214304	
GSM7844841_Pt15_Z1_barcodes.tsv.gz	27305	not_parsed				
GSM7844841_Pt15_Z1_features.tsv.gz	215711	not_parsed				
GSM7844841_Pt15_Z1_matrix.mtx.gz	36595930	matrix_market_dimensions	29922	5853	11968101	
GSM7844842_Pt16_T1_barcodes.tsv.gz	2462	not_parsed				
GSM7844842_Pt16_T1_features.tsv.gz	212926	not_parsed				
GSM7844842_Pt16_T1_matrix.mtx.gz	1919719	matrix_market_dimensions	29569	396	640357	
GSM7844843_Pt16_Z1_barcodes.tsv.gz	1848	not_parsed				
GSM7844843_Pt16_Z1_features.tsv.gz	215711	not_parsed				
GSM7844843_Pt16_Z1_matrix.mtx.gz	1492469	matrix_market_dimensions	29922	285	497335	
GSM7844844_Pt17_T1_barcodes.tsv.gz	9197	not_parsed				
GSM7844844_Pt17_T1_features.tsv.gz	212926	not_parsed				
GSM7844844_Pt17_T1_matrix.mtx.gz	8288820	matrix_market_dimensions	29569	1677	2720316	
GSM7844845_Pt17_T2_barcodes.tsv.gz	10296	not_parsed				
GSM7844845_Pt17_T2_features.tsv.gz	212926	not_parsed				
GSM7844845_Pt17_T2_matrix.mtx.gz	11950548	matrix_market_dimensions	29569	1907	3925939	
GSM7844846_Pt17_Z1_barcodes.tsv.gz	23949	not_parsed				
GSM7844846_Pt17_Z1_features.tsv.gz	215711	not_parsed				
GSM7844846_Pt17_Z1_matrix.mtx.gz	16655635	matrix_market_dimensions	29922	4801	5423414	
GSM7844847_Pt18_T1_barcodes.tsv.gz	23219	not_parsed				
GSM7844847_Pt18_T1_features.tsv.gz	212926	not_parsed				
GSM7844847_Pt18_T1_matrix.mtx.gz	28894880	matrix_market_dimensions	29569	4639	9556995	
GSM7844848_Pt18_T2_barcodes.tsv.gz	32056	not_parsed				
GSM7844848_Pt18_T2_features.tsv.gz	212926	not_parsed				
GSM7844848_Pt18_T2_matrix.mtx.gz	42213304	matrix_market_dimensions	29569	7009	14047997	
GSM7844849_Pt18_Z1_barcodes.tsv.gz	16412	not_parsed				
GSM7844849_Pt18_Z1_features.tsv.gz	215711	not_parsed				
GSM7844849_Pt18_Z1_matrix.mtx.gz	14786390	matrix_market_dimensions	29922	3089	4857885	
GSM7844850_Pt18_Z2_barcodes.tsv.gz	35775	not_parsed				
GSM7844850_Pt18_Z2_features.tsv.gz	215711	not_parsed				
GSM7844850_Pt18_Z2_matrix.mtx.gz	37949154	matrix_market_dimensions	29922	7442	12495495	
