member_name	member_size	summary_type	primary_count	secondary_count	third_count	notes
GSM7058754_immune_counts.txt.gz	224338701	gzip_tabular_rows_columns	17066	196474		"""""	""s0920_SampleTag08-176080s8-3_4""	""s0920_SampleTag06-175934s8-3_4""	""s0920_SampleTag06-153421s8-3_4""	""s0920_SampleTag06-687985s8-3_4""	""s0920_SampleTag06-731572s8-3_4""	""s0920_SampleTag06-351753s8-3_4""	""s0920_SampleTag08-590588s8-3_4""	""s0920_SampleTag08-79316s8-3_4""	""s0920_SampleTag08-22916s8-3_4""	""s"
GSM7058754_immune_meta.txt.gz	10089020	gzip_tabular_rows_columns	196473	21		"""""	""orig.ident""	""nCount_RNA""	""nFeature_RNA""	""nCount_antibody""	""nFeature_antibody""	""patients""	""sampletag""	""organs""	""percent.mt""	""percent.ribo""	""log10GenesPerUMI""	""batch""	""integrated_snn_res.0.5""	""seurat_clusters""	""samples""	""doublet.score""	""predicted.doublet""	""cluster""	""doublet""	""patients_organ"""
GSM7058755_non_immune_counts.txt.gz	90363024	gzip_tabular_rows_columns	17515	41893		"""""	""s1231_SampleTag06.710210s4""	""s1231_SampleTag06.527732s4""	""s1231_SampleTag06.384716s4""	""s1231_SampleTag06.724127s4""	""s1231_SampleTag06.309004s4""	""s1231_SampleTag06.165204s4""	""s1231_SampleTag06.129567s4""	""s1231_SampleTag05.594586s4""	""s1231_SampleTag05.762875s4""	""s1231_SampleTag06.52287s4""	""s1231_S"
GSM7058755_non_immune_meta.txt.gz	1979260	gzip_tabular_rows_columns	41892	19		"""""	""orig.ident""	""nCount_RNA""	""nFeature_RNA""	""patients""	""sampletag""	""organs""	""percent.mt""	""percent.ribo""	""log10GenesPerUMI""	""integrated_snn_res.0.5""	""seurat_clusters""	""batch""	""doublet.score""	""predicted.doublet""	""doublet""	""cluster""	""integrated_snn_res.0.1""	""patients_organ"""
GSM7058756_C1.barcodes.tsv.gz	11983	gzip_line_count	2054			
GSM7058756_C1.features.tsv.gz	155265	gzip_line_count	17943			
GSM7058756_C1.matrix.mtx.gz	48358651	matrix_market_dimensions	17943	2054	13705400	
GSM7058756_C1_aligned_fiducials.jpg.gz	1774954	not_parsed				
GSM7058756_C1_detected_tissue_image.jpg.gz	2320739	not_parsed				
GSM7058756_C1_scalefactors_json.json.gz	162	not_parsed				
GSM7058756_C1_tissue_hires_image.png.gz	4974590	not_parsed				
GSM7058756_C1_tissue_lowres_image.png.gz	466373	not_parsed				
GSM7058756_C1_tissue_positions_list.csv.gz	54319	not_parsed				
GSM7058757_C2.barcodes.tsv.gz	18909	gzip_line_count	3305			
GSM7058757_C2.features.tsv.gz	155265	gzip_line_count	17943			
GSM7058757_C2.matrix.mtx.gz	44188962	matrix_market_dimensions	17943	3305	12510703	
GSM7058757_C2_aligned_fiducials.jpg.gz	2213556	not_parsed				
GSM7058757_C2_detected_tissue_image.jpg.gz	2530526	not_parsed				
GSM7058757_C2_scalefactors_json.json.gz	160	not_parsed				
