dataset_id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	marker_rank
GSE178318	7.200877120805e-126	2.85234854911814	0.149	0.031	2.42381523886296e-121	1	FCRLA	23
GSE178318	1.67205904596646e-304	2.82744766303095	0.257	0.035	5.62815074872311e-300	1	LINC00926	24
GSE178318	5.83838536853674e-106	2.80218027742006	0.115	0.021	1.96520051504947e-101	1	KYNU	25
GSE178318	8.08138516420152e-145	2.79357606053721	0.126	0.017	2.72019424627023e-140	1	FCRL1	26
GSE178318	0	2.79354077066348	0.821	0.194	0	1	CD79A	27
GSE178318	1.34937783288635e-131	2.7771929597793	0.13	0.021	4.54200578549547e-127	1	GAPT	28
GSE178318	4.3273144847408e-240	2.74564951879498	0.375	0.12	1.45657405556375e-235	1	SMIM14	29
GSE178318	1.06759483407362e-78	2.69650229808242	0.105	0.024	3.59352421149179e-74	1	FGD2	30
GSE178318	0	2.63503967425747	0.653	0.179	0	1	CD83	31
GSE178318	2.23032460564554e-113	2.57383078835482	0.17	0.045	7.50727262260288e-109	1	CLECL1	32
GSE178318	4.63140292658229e-26	2.56594651078524	0.102	0.05	1.5589302250876e-21	1	CPNE5	33
GSE178318	1.61309140437129e-109	2.53448392235874	0.125	0.024	5.42966566711375e-105	1	BCL11A	34
GSE178318	2.72601444222798e-161	2.52129986340347	0.172	0.031	9.17576461253939e-157	1	MARCH1	35
GSE178318	0	2.51274377763713	0.826	0.252	0	1	HLA-DQB1	36
GSE178318	4.21583083998247e-88	2.44866687471773	0.129	0.032	1.4190486607381e-83	1	CD70	37
GSE178318	6.52632825259892e-88	2.43940871222151	0.172	0.056	2.1967620898248e-83	1	HLA-DOB	38
GSE178318	4.18309369434645e-96	2.43697880884526	0.177	0.056	1.40802933751701e-91	1	KIAA0125	39
GSE178318	1.3561708067315e-124	2.41878873739668	0.24	0.08	4.56487093545823e-120	1	AL928768.3	40
GSE178318	0	2.41589343827257	0.752	0.196	0	1	HLA-DQA1	41
GSE178318	2.39687436548705e-30	2.40982838129365	0.128	0.065	8.06787911422941e-26	1	PNOC	42
GSE178318	1.5417459881025e-71	2.40183478305003	0.114	0.03	5.18951699595302e-67	1	CD86	43
GSE178318	7.62938578362058e-187	2.39931525951363	0.194	0.034	2.56805125476669e-182	1	CD22	44
GSE178318	1.56741482807051e-53	2.35863079451223	0.122	0.043	5.27591831128534e-49	1	LYPLAL1	45
GSE178318	2.1657247290756e-104	2.31660003096876	0.268	0.116	7.28982943806848e-100	1	GNG7	46
GSE178318	8.46705505157118e-25	2.29806120474368	0.11	0.056	2.85001073035886e-20	1	BLNK	47
GSE178318	4.47342456564323e-139	2.28388446144738	0.255	0.082	1.50575470879551e-134	1	POU2F2	48
GSE178318	1.49493332404698e-70	2.28337979187385	0.13	0.039	5.03194556874215e-66	1	TFEB	49
GSE178318	5.89716231652943e-264	2.26592383954262	0.44	0.151	1.98498483574381e-259	1	MEF2C	50
GSE178318	5.87800656036258e-158	3.35151406844351	0.161	0.028	1.97853700821804e-153	2	ICOS	1
GSE178318	0	3.05791752120376	0.438	0.097	0	2	GZMK	2
GSE178318	3.07729001165995e-87	2.81468901153504	0.122	0.029	1.03581581792474e-82	2	TNFRSF25	3
GSE178318	0	2.7601657681535	0.443	0.108	0	2	IL7R	4
GSE178318	1.78163064495979e-21	2.57559989302895	0.13	0.076	5.99696875093467e-17	2	TNFRSF4	5
GSE178318	2.10508142109059e-190	2.56845705515596	0.27	0.07	7.08570406339094e-186	2	CD3G	6
GSE178318	1.85874692317939e-118	2.51762731259806	0.168	0.041	6.25654214342182e-114	2	TRAT1	7
GSE178318	9.09173004023687e-65	2.45005493937801	0.118	0.035	3.06027633154373e-60	2	BCL11B	8
GSE178318	1.98140095466398e-78	2.43295467467187	0.136	0.039	6.66939561339895e-74	2	CD8B	9
GSE178318	0	2.36136035859313	0.623	0.237	0	2	TRAC	10
GSE178318	2.26953515427938e-55	2.34153346410868	0.119	0.039	7.6392553293044e-51	2	CRTAM	11
GSE178318	4.59824906617777e-26	2.33210123495604	0.166	0.101	1.54777063567544e-21	2	TNFRSF18	12
GSE178318	0	2.3039688061041	0.688	0.317	0	2	RGCC	13
GSE178318	7.81399986702823e-168	2.28881579804593	0.322	0.112	2.6301923552417e-163	2	DUSP4	14
GSE178318	3.31208862792764e-51	2.26999982885561	0.196	0.097	1.11484903216044e-46	2	BATF	15
GSE178318	9.21566838923655e-206	2.10647597900552	0.501	0.254	3.10199397981702e-201	2	LEPROTL1	16
