dataset_id	all_marker_rds_path	all_marker_rds_size_bytes
GSE178318	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_subset_clustering_20260708/gse178318_stromal_subset_all_markers_res0.4.rds	670610
GSE245552	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_subset_clustering_20260708/gse245552_stromal_subset_all_markers_res0.4.rds	185748
