dataset_id	object_path	cells	umap_columns	required_fields	optional_fields_present	main_cluster_count	review_class_count
GSE178318	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_subset_clustering_20260708/gse178318_stromal_subset_seurat_res0.4.rds	13519	umap_1,umap_2	dataset_id,main_cluster,review_class,sample_label,tissue_site,top_marker_program,score_margin	object_label,raw_barcode,nCount_RNA,nFeature_RNA,percent.mt	15	3
GSE245552	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_subset_clustering_20260708/gse245552_stromal_subset_seurat_res0.4.rds	28288	umap_1,umap_2	dataset_id,main_cluster,review_class,sample_label,tissue_site,top_marker_program,score_margin	object_label,raw_barcode,nCount_RNA,nFeature_RNA,percent.mt	18	3
