dataset_id	main_cluster	umap_1	umap_2	cells
GSE178318	2	1.76972920501092	0.631113263239325	2194
GSE178318	10	-7.91607265865943	6.17675844619161	328
GSE178318	1	-9.05329065716407	-3.12674029877299	2295
GSE178318	0	0.510949500440152	-5.90234907677287	2789
GSE178318	4	12.798458763002	1.10485009143239	1020
GSE178318	9	10.4463250120864	6.06848756263143	422
GSE178318	3	-2.38148181831977	11.6721305031527	1542
GSE178318	8	4.88127250277856	0.907507755254568	462
GSE178318	7	8.93714971148828	-2.4652982573759	463
GSE178318	12	10.5552303274856	-7.44511087944621	202
GSE178318	11	15.1092001875625	7.16876307914144	237
GSE178318	13	-0.0239564249529531	4.12588898131734	74
GSE178318	6	-11.1146138230576	-5.4867335181486	579
GSE178318	5	-1.08202397024771	0.92111837903148	896
GSE178318	14	-12.7364962617173	-3.38760741760844	16
GSE245552	9	2.72504067318812	-15.4563152321815	678
GSE245552	17	-4.60563242537603	-11.6813308724402	65
GSE245552	6	-5.46364653212652	-9.89786262598028	1147
GSE245552	14	0.765039562157538	-7.15208215799322	183
GSE245552	7	3.50932824509516	-10.8861658104896	1014
GSE245552	0	-6.00720584494695	3.31588511381159	7364
GSE245552	1	-5.73006832701788	-0.0579735168456086	6097
GSE245552	8	5.16901409523859	13.3650892249108	690
GSE245552	3	11.3264163722314	1.58862786207209	2763
GSE245552	2	4.59101235764399	2.81449441823969	3003
GSE245552	11	5.91758382218256	6.60032110128412	471
GSE245552	4	6.30387580292597	-5.72228975381842	1867
GSE245552	5	10.7075284709252	6.17070417318354	1339
GSE245552	16	8.00164043801203	-0.766365496182347	98
GSE245552	10	-2.07049405676946	-16.4905497559546	610
GSE245552	12	9.5334771861352	-7.82021493997564	421
GSE245552	15	-0.726942123004053	-7.24367113199225	104
GSE245552	13	0.793438552788641	9.57501821432123	374
