gene_symbol	program	spatial_sample	tissue_site	lesion_type	present
CSPG4	f02_mcam	C2	colorectal tissue	primary tumor sample 2	TRUE
MCAM	f02_mcam	C2	colorectal tissue	primary tumor sample 2	TRUE
PDGFRB	f02_mcam	C2	colorectal tissue	primary tumor sample 2	TRUE
RGS5	f02_mcam	C2	colorectal tissue	primary tumor sample 2	TRUE
TAGLN	f02_mcam	C2	colorectal tissue	primary tumor sample 2	TRUE
C3	f03_cxcl14	C2	colorectal tissue	primary tumor sample 2	TRUE
CFD	f03_cxcl14	C2	colorectal tissue	primary tumor sample 2	TRUE
CXCL12	f03_cxcl14	C2	colorectal tissue	primary tumor sample 2	TRUE
CXCL14	f03_cxcl14	C2	colorectal tissue	primary tumor sample 2	TRUE
SFRP1	f03_cxcl14	C2	colorectal tissue	primary tumor sample 2	TRUE
C3	f04_c3	C2	colorectal tissue	primary tumor sample 2	TRUE
CCL2	f04_c3	C2	colorectal tissue	primary tumor sample 2	TRUE
CFD	f04_c3	C2	colorectal tissue	primary tumor sample 2	TRUE
CXCL12	f04_c3	C2	colorectal tissue	primary tumor sample 2	TRUE
COCH	f05_coch	C2	colorectal tissue	primary tumor sample 2	TRUE
COL14A1	f05_coch	C2	colorectal tissue	primary tumor sample 2	TRUE
PI16	f05_coch	C2	colorectal tissue	primary tumor sample 2	TRUE
CENPF	f06_cycling	C2	colorectal tissue	primary tumor sample 2	TRUE
MKI67	f06_cycling	C2	colorectal tissue	primary tumor sample 2	TRUE
TOP2A	f06_cycling	C2	colorectal tissue	primary tumor sample 2	TRUE
COL1A1	fibroblast_ecm	C2	colorectal tissue	primary tumor sample 2	TRUE
COL1A2	fibroblast_ecm	C2	colorectal tissue	primary tumor sample 2	TRUE
COL3A1	fibroblast_ecm	C2	colorectal tissue	primary tumor sample 2	TRUE
DCN	fibroblast_ecm	C2	colorectal tissue	primary tumor sample 2	TRUE
LUM	fibroblast_ecm	C2	colorectal tissue	primary tumor sample 2	TRUE
PRELP	fibroblast_ecm	C2	colorectal tissue	primary tumor sample 2	TRUE
CD3D	immune_context	C2	colorectal tissue	primary tumor sample 2	TRUE
LYZ	immune_context	C2	colorectal tissue	primary tumor sample 2	TRUE
PTPRC	immune_context	C2	colorectal tissue	primary tumor sample 2	TRUE
ACTA2	pericyte_smc	C2	colorectal tissue	primary tumor sample 2	TRUE
CSPG4	pericyte_smc	C2	colorectal tissue	primary tumor sample 2	TRUE
MCAM	pericyte_smc	C2	colorectal tissue	primary tumor sample 2	TRUE
PDGFRB	pericyte_smc	C2	colorectal tissue	primary tumor sample 2	TRUE
RGS5	pericyte_smc	C2	colorectal tissue	primary tumor sample 2	TRUE
ACTA2	caf_activation	C3	colorectal tissue	primary tumor sample 3	TRUE
FAP	caf_activation	C3	colorectal tissue	primary tumor sample 3	TRUE
MMP11	caf_activation	C3	colorectal tissue	primary tumor sample 3	TRUE
MMP2	caf_activation	C3	colorectal tissue	primary tumor sample 3	TRUE
POSTN	caf_activation	C3	colorectal tissue	primary tumor sample 3	TRUE
THBS2	caf_activation	C3	colorectal tissue	primary tumor sample 3	TRUE
KDR	endothelial	C3	colorectal tissue	primary tumor sample 3	TRUE
PECAM1	endothelial	C3	colorectal tissue	primary tumor sample 3	TRUE
VWF	endothelial	C3	colorectal tissue	primary tumor sample 3	TRUE
EPCAM	epithelial_tumor	C3	colorectal tissue	primary tumor sample 3	TRUE
KRT18	epithelial_tumor	C3	colorectal tissue	primary tumor sample 3	TRUE
KRT19	epithelial_tumor	C3	colorectal tissue	primary tumor sample 3	FALSE
KRT8	epithelial_tumor	C3	colorectal tissue	primary tumor sample 3	TRUE
COL1A1	f01_prelp	C3	colorectal tissue	primary tumor sample 3	TRUE
COL1A2	f01_prelp	C3	colorectal tissue	primary tumor sample 3	TRUE
DCN	f01_prelp	C3	colorectal tissue	primary tumor sample 3	TRUE
LUM	f01_prelp	C3	colorectal tissue	primary tumor sample 3	TRUE
PRELP	f01_prelp	C3	colorectal tissue	primary tumor sample 3	TRUE
ACTA2	f02_mcam	C3	colorectal tissue	primary tumor sample 3	TRUE
CSPG4	f02_mcam	C3	colorectal tissue	primary tumor sample 3	TRUE
MCAM	f02_mcam	C3	colorectal tissue	primary tumor sample 3	TRUE
PDGFRB	f02_mcam	C3	colorectal tissue	primary tumor sample 3	TRUE
RGS5	f02_mcam	C3	colorectal tissue	primary tumor sample 3	TRUE
TAGLN	f02_mcam	C3	colorectal tissue	primary tumor sample 3	TRUE
C3	f03_cxcl14	C3	colorectal tissue	primary tumor sample 3	TRUE
CFD	f03_cxcl14	C3	colorectal tissue	primary tumor sample 3	TRUE
CXCL12	f03_cxcl14	C3	colorectal tissue	primary tumor sample 3	TRUE
CXCL14	f03_cxcl14	C3	colorectal tissue	primary tumor sample 3	TRUE
SFRP1	f03_cxcl14	C3	colorectal tissue	primary tumor sample 3	TRUE
C3	f04_c3	C3	colorectal tissue	primary tumor sample 3	TRUE
CCL2	f04_c3	C3	colorectal tissue	primary tumor sample 3	TRUE
CFD	f04_c3	C3	colorectal tissue	primary tumor sample 3	TRUE
CXCL12	f04_c3	C3	colorectal tissue	primary tumor sample 3	TRUE
COCH	f05_coch	C3	colorectal tissue	primary tumor sample 3	TRUE
COL14A1	f05_coch	C3	colorectal tissue	primary tumor sample 3	TRUE
PI16	f05_coch	C3	colorectal tissue	primary tumor sample 3	TRUE
CENPF	f06_cycling	C3	colorectal tissue	primary tumor sample 3	TRUE
MKI67	f06_cycling	C3	colorectal tissue	primary tumor sample 3	TRUE
