gene_symbol	cluster	mean_log_norm	pct_expr	program
TAGLN	E02_endothelial_DLL4	0.198628722858413	0.131749460043197	f02_mcam
C3	E02_endothelial_DLL4	0.0432202083539989	0.0323974082073434	f03_cxcl14
CFD	E02_endothelial_DLL4	0.0014552951093861	0.00107991360691145	f03_cxcl14
CXCL12	E02_endothelial_DLL4	1.70484983015139	0.676025917926566	f03_cxcl14
CXCL14	E02_endothelial_DLL4	0.304238355478798	0.209503239740821	f03_cxcl14
SFRP1	E02_endothelial_DLL4	0.0101031950474323	0.00863930885529158	f03_cxcl14
C3	E02_endothelial_DLL4	0.0432202083539989	0.0323974082073434	f04_c3
CCL2	E02_endothelial_DLL4	0.361727649958384	0.174946004319654	f04_c3
CFD	E02_endothelial_DLL4	0.0014552951093861	0.00107991360691145	f04_c3
CXCL12	E02_endothelial_DLL4	1.70484983015139	0.676025917926566	f04_c3
COCH	E02_endothelial_DLL4	0.00115603747289171	0.00107991360691145	f05_coch
COL14A1	E02_endothelial_DLL4	0.0170424407584832	0.0129589632829374	f05_coch
PI16	E02_endothelial_DLL4	0.101283812940447	0.0572354211663067	f05_coch
CENPF	E02_endothelial_DLL4	0.0409715949100821	0.031317494600432	f06_cycling
MKI67	E02_endothelial_DLL4	0.0111806795514393	0.00971922246220302	f06_cycling
TOP2A	E02_endothelial_DLL4	0.00639638052029325	0.00539956803455724	f06_cycling
COL1A1	E02_endothelial_DLL4	0.920774172063975	0.461123110151188	fibroblast_ecm
COL1A2	E02_endothelial_DLL4	0.486853808761271	0.285097192224622	fibroblast_ecm
COL3A1	E02_endothelial_DLL4	0.491234104073845	0.285097192224622	fibroblast_ecm
DCN	E02_endothelial_DLL4	0.155709120762681	0.103671706263499	fibroblast_ecm
LUM	E02_endothelial_DLL4	0.0638428723329444	0.0442764578833693	fibroblast_ecm
PRELP	E02_endothelial_DLL4	0.0303402457234911	0.0205183585313175	fibroblast_ecm
CD3D	E02_endothelial_DLL4	0.00349193445851601	0.00215982721382289	immune_context
LYZ	E02_endothelial_DLL4	0.0925737916870156	0.0680345572354212	immune_context
PTPRC	E02_endothelial_DLL4	0	0	immune_context
ACTA2	E02_endothelial_DLL4	0.206296527824267	0.139308855291577	pericyte_smc
CSPG4	E02_endothelial_DLL4	0.00679573961556927	0.00539956803455724	pericyte_smc
MCAM	E02_endothelial_DLL4	1.81033262159784	0.782937365010799	pericyte_smc
PDGFRB	E02_endothelial_DLL4	0.0288512565289433	0.0226781857451404	pericyte_smc
RGS5	E02_endothelial_DLL4	0.116453730309524	0.072354211663067	pericyte_smc
ACTA2	E03_endothelial_NOTCH3	2.21961499801569	0.863425925925926	caf_activation
FAP	E03_endothelial_NOTCH3	0.499321370051228	0.423611111111111	caf_activation
MMP11	E03_endothelial_NOTCH3	0.952032237845137	0.5625	caf_activation
MMP2	E03_endothelial_NOTCH3	2.34026699607781	0.909722222222222	caf_activation
POSTN	E03_endothelial_NOTCH3	1.21514934267012	0.578703703703704	caf_activation
THBS2	E03_endothelial_NOTCH3	1.11459122401421	0.601851851851852	caf_activation
KDR	E03_endothelial_NOTCH3	0.681355530985212	0.509259259259259	endothelial
PECAM1	E03_endothelial_NOTCH3	1.23337709943818	0.74537037037037	endothelial
VWF	E03_endothelial_NOTCH3	0.64626886973887	0.479166666666667	endothelial
EPCAM	E03_endothelial_NOTCH3	0.0770933155611003	0.0671296296296296	epithelial_tumor
KRT18	E03_endothelial_NOTCH3	0.181942172311853	0.18287037037037	epithelial_tumor
KRT19	E03_endothelial_NOTCH3	0.017294528571734	0.0185185185185185	epithelial_tumor
KRT8	E03_endothelial_NOTCH3	0.21423388969439	0.222222222222222	epithelial_tumor
COL1A1	E03_endothelial_NOTCH3	3.93221526148355	0.965277777777778	f01_prelp
COL1A2	E03_endothelial_NOTCH3	3.31113903056523	0.960648148148148	f01_prelp
DCN	E03_endothelial_NOTCH3	2.21938234420941	0.840277777777778	f01_prelp
LUM	E03_endothelial_NOTCH3	1.46261693720964	0.666666666666667	f01_prelp
PRELP	E03_endothelial_NOTCH3	0.626688470636332	0.393518518518519	f01_prelp
ACTA2	E03_endothelial_NOTCH3	2.21961499801569	0.863425925925926	f02_mcam
CSPG4	E03_endothelial_NOTCH3	0.41889287006767	0.321759259259259	f02_mcam
MCAM	E03_endothelial_NOTCH3	1.70122204719226	0.784722222222222	f02_mcam
PDGFRB	E03_endothelial_NOTCH3	0.993886077543852	0.662037037037037	f02_mcam
RGS5	E03_endothelial_NOTCH3	2.41897805651885	0.699074074074074	f02_mcam
TAGLN	E03_endothelial_NOTCH3	1.61923319542727	0.766203703703704	f02_mcam
C3	E03_endothelial_NOTCH3	0.27318410035035	0.171296296296296	f03_cxcl14
CFD	E03_endothelial_NOTCH3	0.0462644616437276	0.0393518518518519	f03_cxcl14
CXCL12	E03_endothelial_NOTCH3	0.979205486790856	0.569444444444445	f03_cxcl14
CXCL14	E03_endothelial_NOTCH3	0.800914106135638	0.476851851851852	f03_cxcl14
SFRP1	E03_endothelial_NOTCH3	0.0864860044843086	0.0740740740740741	f03_cxcl14
C3	E03_endothelial_NOTCH3	0.27318410035035	0.171296296296296	f04_c3
CCL2	E03_endothelial_NOTCH3	0.585919532960895	0.349537037037037	f04_c3
CFD	E03_endothelial_NOTCH3	0.0462644616437276	0.0393518518518519	f04_c3
CXCL12	E03_endothelial_NOTCH3	0.979205486790856	0.569444444444445	f04_c3
COCH	E03_endothelial_NOTCH3	0.0141725313584759	0.0115740740740741	f05_coch
COL14A1	E03_endothelial_NOTCH3	0.953845145226856	0.636574074074074	f05_coch
PI16	E03_endothelial_NOTCH3	0.0226265067743647	0.0231481481481482	f05_coch
CENPF	E03_endothelial_NOTCH3	0.0254769741705608	0.0347222222222222	f06_cycling
MKI67	E03_endothelial_NOTCH3	0.0100148166045814	0.00925925925925926	f06_cycling
TOP2A	E03_endothelial_NOTCH3	0.0133014245258222	0.0138888888888889	f06_cycling
COL1A1	E03_endothelial_NOTCH3	3.93221526148355	0.965277777777778	fibroblast_ecm
COL1A2	E03_endothelial_NOTCH3	3.31113903056523	0.960648148148148	fibroblast_ecm
COL3A1	E03_endothelial_NOTCH3	3.62630710270727	0.969907407407407	fibroblast_ecm
DCN	E03_endothelial_NOTCH3	2.21938234420941	0.840277777777778	fibroblast_ecm
LUM	E03_endothelial_NOTCH3	1.46261693720964	0.666666666666667	fibroblast_ecm
PRELP	E03_endothelial_NOTCH3	0.626688470636332	0.393518518518519	fibroblast_ecm
CD3D	E03_endothelial_NOTCH3	0.00450678229968953	0.00462962962962963	immune_context
LYZ	E03_endothelial_NOTCH3	0.120154885003564	0.101851851851852	immune_context
PTPRC	E03_endothelial_NOTCH3	0.00135300699019355	0.00231481481481482	immune_context
ACTA2	E03_endothelial_NOTCH3	2.21961499801569	0.863425925925926	pericyte_smc
CSPG4	E03_endothelial_NOTCH3	0.41889287006767	0.321759259259259	pericyte_smc
MCAM	E03_endothelial_NOTCH3	1.70122204719226	0.784722222222222	pericyte_smc
PDGFRB	E03_endothelial_NOTCH3	0.993886077543852	0.662037037037037	pericyte_smc
RGS5	E03_endothelial_NOTCH3	2.41897805651885	0.699074074074074	pericyte_smc
ACTA2	E04_endothelial_CD36	0.228442553694548	0.130597014925373	caf_activation
FAP	E04_endothelial_CD36	0.175227062379341	0.123134328358209	caf_activation
MMP11	E04_endothelial_CD36	0.0595420449261147	0.041044776119403	caf_activation
MMP2	E04_endothelial_CD36	0.897173791394268	0.458955223880597	caf_activation
POSTN	E04_endothelial_CD36	0.0999132493805521	0.0634328358208955	caf_activation
THBS2	E04_endothelial_CD36	0.0657114207604992	0.041044776119403	caf_activation
KDR	E04_endothelial_CD36	1.46263266840223	0.712686567164179	endothelial
PECAM1	E04_endothelial_CD36	2.7187063630714	0.958955223880597	endothelial
