dataset_id	gene	present	spots	features
10x_GBM	EGFR	TRUE	10878	18085
10x_GBM	C1QC	TRUE	10878	18085
10x_GBM	FOLR2	TRUE	10878	18085
10x_CRC	EPCAM	TRUE	9080	18085
10x_CRC	C1QC	TRUE	9080	18085
10x_CRC	FOLR2	TRUE	9080	18085
GSE274103_PDAC	EPCAM	TRUE	4134	17943
GSE274103_PDAC	C1QC	TRUE	4134	17943
GSE274103_PDAC	PLTP	TRUE	4134	17943
