timestamp	step	status	note
2026-07-05T16:41:03	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453590_P15_exp.txt.gz
2026-07-05T16:41:05	read_marker_matrix	complete	GSM4453590_P15_exp.txt.gz cells=3606
2026-07-05T16:41:05	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453591_P16_exp.txt.gz
2026-07-05T16:41:05	read_marker_matrix	complete	GSM4453591_P16_exp.txt.gz cells=1148
2026-07-05T16:41:05	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453592_P17_exp.txt.gz
2026-07-05T16:41:09	read_marker_matrix	complete	GSM4453592_P17_exp.txt.gz cells=8700
2026-07-05T16:41:09	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453593_P18_exp.txt.gz
2026-07-05T16:41:11	read_marker_matrix	complete	GSM4453593_P18_exp.txt.gz cells=3314
2026-07-05T16:41:11	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453594_P19_exp.txt.gz
2026-07-05T16:41:11	read_marker_matrix	complete	GSM4453594_P19_exp.txt.gz cells=453
2026-07-05T16:41:11	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453595_P20_exp.txt.gz
2026-07-05T16:41:12	read_marker_matrix	complete	GSM4453595_P20_exp.txt.gz cells=429
2026-07-05T16:41:12	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453596_P21_exp.txt.gz
2026-07-05T16:41:13	read_marker_matrix	complete	GSM4453596_P21_exp.txt.gz cells=1968
2026-07-05T16:41:13	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453597_P22_exp.txt.gz
2026-07-05T16:41:13	read_marker_matrix	complete	GSM4453597_P22_exp.txt.gz cells=644
2026-07-05T16:41:13	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453598_P23_exp.txt.gz
2026-07-05T16:41:14	read_marker_matrix	complete	GSM4453598_P23_exp.txt.gz cells=2387
2026-07-05T16:41:14	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453599_P24_exp.txt.gz
2026-07-05T16:41:14	read_marker_matrix	complete	GSM4453599_P24_exp.txt.gz cells=386
2026-07-05T16:41:14	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453600_P25_exp.txt.gz
2026-07-05T16:41:16	read_marker_matrix	complete	GSM4453600_P25_exp.txt.gz cells=4029
2026-07-05T16:41:16	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453601_P26_exp.txt.gz
2026-07-05T16:41:17	read_marker_matrix	complete	GSM4453601_P26_exp.txt.gz cells=570
2026-07-05T16:41:17	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453602_P27_exp.txt.gz
2026-07-05T16:41:17	read_marker_matrix	complete	GSM4453602_P27_exp.txt.gz cells=707
2026-07-05T16:41:17	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453603_P28_exp.txt.gz
2026-07-05T16:41:18	read_marker_matrix	complete	GSM4453603_P28_exp.txt.gz cells=2373
2026-07-05T16:41:18	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453604_P29_exp.txt.gz
2026-07-05T16:41:19	read_marker_matrix	complete	GSM4453604_P29_exp.txt.gz cells=969
2026-07-05T16:41:19	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453605_P30_exp.txt.gz
2026-07-05T16:41:19	read_marker_matrix	complete	GSM4453605_P30_exp.txt.gz cells=742
2026-07-05T16:41:19	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453606_P31_exp.txt.gz
2026-07-05T16:41:19	read_marker_matrix	complete	GSM4453606_P31_exp.txt.gz cells=387
2026-07-05T16:41:19	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453607_P32_exp.txt.gz
2026-07-05T16:41:20	read_marker_matrix	complete	GSM4453607_P32_exp.txt.gz cells=595
2026-07-05T16:41:20	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453608_P33_exp.txt.gz
2026-07-05T16:41:20	read_marker_matrix	complete	GSM4453608_P33_exp.txt.gz cells=350
2026-07-05T16:41:20	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453609_P34_exp.txt.gz
2026-07-05T16:41:21	read_marker_matrix	complete	GSM4453609_P34_exp.txt.gz cells=972
2026-07-05T16:41:21	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453610_P35_exp.txt.gz
2026-07-05T16:41:21	read_marker_matrix	complete	GSM4453610_P35_exp.txt.gz cells=1079
2026-07-05T16:41:21	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453611_P36_exp.txt.gz
2026-07-05T16:41:21	read_marker_matrix	complete	GSM4453611_P36_exp.txt.gz cells=500
2026-07-05T16:41:21	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453612_P37_exp.txt.gz
2026-07-05T16:41:23	read_marker_matrix	complete	GSM4453612_P37_exp.txt.gz cells=2486
2026-07-05T16:41:23	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453613_P38_exp.txt.gz
2026-07-05T16:41:23	read_marker_matrix	complete	GSM4453613_P38_exp.txt.gz cells=1358
2026-07-05T16:41:23	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453614_P39_exp.txt.gz
2026-07-05T16:41:24	read_marker_matrix	complete	GSM4453614_P39_exp.txt.gz cells=1896
2026-07-05T16:41:24	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453615_P40_exp.txt.gz
2026-07-05T16:41:25	read_marker_matrix	complete	GSM4453615_P40_exp.txt.gz cells=1155
2026-07-05T16:41:25	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453616_P41_exp.txt.gz
2026-07-05T16:41:28	read_marker_matrix	complete	GSM4453616_P41_exp.txt.gz cells=6222
2026-07-05T16:41:28	read_marker_matrix	running	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\desktop_exchange\requests\20260704_supp_fig_s2_full_cell_composition\data\GSE148071\extracted\GSM4453617_P42_exp.txt.gz
2026-07-05T16:41:28	read_marker_matrix	complete	GSM4453617_P42_exp.txt.gz cells=1001
2026-07-05T16:41:29	umap	running	NSCLC-GSE148071 cells=89887 features=62
2026-07-05T16:46:33	umap	complete	NSCLC-GSE148071
2026-07-05T16:46:33	NSCLC-GSE148071	complete	cells=89887
2026-07-05T16:46:33	HCC-GSE156625	running	
2026-07-05T16:46:33	HCC-GSE156625	complete	cells=73589
2026-07-05T16:46:45	complete	complete	datasets=6 failures=0
