cluster	compartment_sheet	author_cluster	our_non_nuisance_top50_genes	author_non_nuisance_top50_genes	overlap_count	overlap_genes	jaccard	detailed_annotation	broad_annotation	expected_author_sheet	expected_sheet_match	overlap_rank_all	overlap_rank_expected_sheet
16	Fibroblast markers	CCL2+Fibro	50	50	9	COL1A2;COL1A1;COL3A1;COL6A1;COL6A3;TIMP1;VCAN;COL5A2;COL12A1	0.0989010989010989	Fibroblast	Fibroblast/SMC	Fibroblast markers	TRUE	2	2
16	Fibroblast markers	Myofibroblast	50	50	1	IGFBP7	0.0101010101010101	Fibroblast	Fibroblast/SMC	Fibroblast markers	TRUE	3	3
17	Fibroblast markers	Myofibroblast	50	50	26	ACTA2;MYL9;TAGLN;TPM2;C11orf96;IGFBP7;MCAM;MYH11;DSTN;CARMN;FLNA;CAV1;SPARCL1;ADIRF;NOTCH3;MYLK;TSC22D1;NR2F2;CSRP2;PLN;CAV2;PPP1R14A;CSRP1;TINAGL1;CRIP2;FRZB	0.351351351351351	Pericyte_smooth_muscle	Fibroblast/SMC	Fibroblast markers	TRUE	1	1
17	Fibroblast markers	CXCL12+Fibro	50	50	1	MGP	0.0101010101010101	Pericyte_smooth_muscle	Fibroblast/SMC	Fibroblast markers	TRUE	2	2
17	Fibroblast markers	CCL2+Fibro	50	50	0		0	Pericyte_smooth_muscle	Fibroblast/SMC	Fibroblast markers	TRUE	3	3
22	Endothelial cell markers	LYVE1+LEC	50	50	18	TFPI;CCL21;MMRN1;AKAP12;CAVIN2;CLDN5;TIMP3;PPFIBP1;LYVE1;TFF3;PROX1;EFEMP1;TBX1;NR2F1;PTPRE;FABP4;CD9;TNXB	0.219512195121951	Lymphatic_endothelial	Endothelial	Endothelial cell markers	TRUE	1	1
22	Endothelial cell markers	MADCAM1+HEV	50	50	5	CLDN5;CLU;ITM2B;NR2F2;ADIRF	0.0526315789473684	Lymphatic_endothelial	Endothelial	Endothelial cell markers	TRUE	2	2
22	Endothelial cell markers	SYNE2+EC	50	40	2	TSHZ2;WSB1	0.0227272727272727	Lymphatic_endothelial	Endothelial	Endothelial cell markers	TRUE	3	3
24	Fibroblast markers	CXCL12+Fibro	40	50	9	MGP;DCN;CCDC80;PLAC9;CFD;ADH1B;GPX3;IGFBP6;MFAP5	0.111111111111111	Fibroblast_mito_enriched	Fibroblast/SMC	Fibroblast markers	TRUE	1	1
24	Fibroblast markers	CCL2+Fibro	40	50	8	COL1A1;COL1A2;COL3A1;COL6A3;COL6A1;COL5A1;COL5A2;PTGDS	0.0975609756097561	Fibroblast_mito_enriched	Fibroblast/SMC	Fibroblast markers	TRUE	2	2
24	Fibroblast markers	Myofibroblast	40	50	8	CARMN;TPM2;TAGLN;MYL9;C11orf96;ACTA2;IGFBP7;MYH11	0.0975609756097561	Fibroblast_mito_enriched	Fibroblast/SMC	Fibroblast markers	TRUE	3	3
25	Myeloid cell markers	FOLR2+Mac	50	50	16	HLA-DRA;CD74;HLA-DQA1;C1QA;C1QB;APOE;HLA-DQB1;C1QC;CD14;MS4A6A;HLA-DQA2;HLA-DMA;ITM2B;FCGR3A;APOC1;MAFB	0.19047619047619	Myeloid_IG_enriched	Myeloid	Myeloid cell markers	TRUE	1	1
25	Myeloid cell markers	SPP1+Mac	50	50	8	FTL;C1QA;C1QB;APOE;C1QC;CTSB;SPP1;APOC1	0.0869565217391304	Myeloid_IG_enriched	Myeloid	Myeloid cell markers	TRUE	2	2
25	Myeloid cell markers	CD1C+cDC	50	40	5	HLA-DPA1;HLA-DRB1;HLA-DPB1;CST3;HLA-DQB1	0.0588235294117647	Myeloid_IG_enriched	Myeloid	Myeloid cell markers	TRUE	3	3
