reduction	cells_evaluated	neighbors_per_cell	mean_same_sample_neighbor_fraction	median_same_sample_neighbor_fraction
pca_uncorrected	20000	30	0.226253333333333	0.133333333333333
harmony_by_geo_accession	20000	30	0.114688333333333	0.0666666666666667
