geo_accession	sample_stem	matrix_path	features_path	barcodes_path	matrix_n_features	feature_rows	matrix_n_barcodes	barcode_rows	matrix_nnz	metadata_rows	dimension_match	metadata_match
GSM6213966	GSM6213966_Colon_182_v2	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213966_Colon_182_v2_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213966_Colon_182_v2_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213966_Colon_182_v2_barcodes.tsv.gz	33538	33538	6780	6780	5201612	1	TRUE	TRUE
GSM6213967	GSM6213967_Colon_MGI_191_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213967_Colon_MGI_191_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213967_Colon_MGI_191_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213967_Colon_MGI_191_v3_barcodes.tsv.gz	33538	33538	8742	8742	15016305	1	TRUE	TRUE
GSM6213968	GSM6213968_Colon_MGI_192_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213968_Colon_MGI_192_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213968_Colon_MGI_192_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213968_Colon_MGI_192_v3_barcodes.tsv.gz	33538	33538	7043	7043	5677107	1	TRUE	TRUE
GSM6213969	GSM6213969_Colon_MGI_211_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213969_Colon_MGI_211_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213969_Colon_MGI_211_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213969_Colon_MGI_211_v3_barcodes.tsv.gz	33538	33538	1357	1357	2860858	1	TRUE	TRUE
GSM6213970	GSM6213970_Colon_MGI_213_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213970_Colon_MGI_213_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213970_Colon_MGI_213_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213970_Colon_MGI_213_v3_barcodes.tsv.gz	33538	33538	7690	7690	11852507	1	TRUE	TRUE
GSM6213971	GSM6213971_Colon_MGI_233_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213971_Colon_MGI_233_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213971_Colon_MGI_233_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213971_Colon_MGI_233_v3_barcodes.tsv.gz	33538	33538	10323	10323	12713173	1	TRUE	TRUE
GSM6213972	GSM6213972_Colon_MGI_241_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213972_Colon_MGI_241_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213972_Colon_MGI_241_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213972_Colon_MGI_241_v3_barcodes.tsv.gz	33538	33538	4826	4826	11571926	1	TRUE	TRUE
GSM6213973	GSM6213973_Colon_MGI_243_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213973_Colon_MGI_243_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213973_Colon_MGI_243_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213973_Colon_MGI_243_v3_barcodes.tsv.gz	33538	33538	7307	7307	11619582	1	TRUE	TRUE
GSM6213974	GSM6213974_Colon_MGI_251_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213974_Colon_MGI_251_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213974_Colon_MGI_251_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213974_Colon_MGI_251_v3_barcodes.tsv.gz	33538	33538	8126	8126	12659229	1	TRUE	TRUE
GSM6213975	GSM6213975_Colon_MGI_252_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213975_Colon_MGI_252_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213975_Colon_MGI_252_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213975_Colon_MGI_252_v3_barcodes.tsv.gz	33538	33538	6789	6789	8784421	1	TRUE	TRUE
GSM6213976	GSM6213976_Colon_MGI_253_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213976_Colon_MGI_253_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213976_Colon_MGI_253_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213976_Colon_MGI_253_v3_barcodes.tsv.gz	33538	33538	9798	9798	17620584	1	TRUE	TRUE
GSM6213977	GSM6213977_Colon_MGI_261_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213977_Colon_MGI_261_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213977_Colon_MGI_261_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213977_Colon_MGI_261_v3_barcodes.tsv.gz	33538	33538	5067	5067	11260424	1	TRUE	TRUE
GSM6213978	GSM6213978_Colon_MGI_271_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213978_Colon_MGI_271_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213978_Colon_MGI_271_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213978_Colon_MGI_271_v3_barcodes.tsv.gz	33538	33538	6744	6744	9632248	1	TRUE	TRUE
GSM6213979	GSM6213979_Colon_MGI_272_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213979_Colon_MGI_272_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213979_Colon_MGI_272_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213979_Colon_MGI_272_v3_barcodes.tsv.gz	33538	33538	7546	7546	9154310	1	TRUE	TRUE
GSM6213980	GSM6213980_Colon_MGI_273_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213980_Colon_MGI_273_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213980_Colon_MGI_273_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213980_Colon_MGI_273_v3_barcodes.tsv.gz	33538	33538	7069	7069	20081637	1	TRUE	TRUE
GSM6213981	GSM6213981_Colon_MGI_281_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213981_Colon_MGI_281_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213981_Colon_MGI_281_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213981_Colon_MGI_281_v3_barcodes.tsv.gz	33538	33538	4109	4109	3550256	1	TRUE	TRUE
GSM6213982	GSM6213982_Colon_MGI_282_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213982_Colon_MGI_282_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213982_Colon_MGI_282_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213982_Colon_MGI_282_v3_barcodes.tsv.gz	33538	33538	10942	10942	8625967	1	TRUE	TRUE
GSM6213983	GSM6213983_Colon_MGI_283_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213983_Colon_MGI_283_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213983_Colon_MGI_283_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213983_Colon_MGI_283_v3_barcodes.tsv.gz	33538	33538	6227	6227	12709831	1	TRUE	TRUE
GSM6213984	GSM6213984_Colon_MGI_291_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213984_Colon_MGI_291_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213984_Colon_MGI_291_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213984_Colon_MGI_291_v3_barcodes.tsv.gz	33538	33538	7355	7355	7905627	1	TRUE	TRUE
GSM6213985	GSM6213985_Colon_MGI_292_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213985_Colon_MGI_292_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213985_Colon_MGI_292_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213985_Colon_MGI_292_v3_barcodes.tsv.gz	33538	33538	7260	7260	5592693	1	TRUE	TRUE
GSM6213986	GSM6213986_Colon_MGI_301_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213986_Colon_MGI_301_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213986_Colon_MGI_301_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213986_Colon_MGI_301_v3_barcodes.tsv.gz	33538	33538	5926	5926	4822174	1	TRUE	TRUE
GSM6213987	GSM6213987_Colon_MGI_302_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213987_Colon_MGI_302_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213987_Colon_MGI_302_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213987_Colon_MGI_302_v3_barcodes.tsv.gz	33538	33538	8097	8097	5871164	1	TRUE	TRUE
GSM6213988	GSM6213988_Colon_MGI_303_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213988_Colon_MGI_303_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213988_Colon_MGI_303_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213988_Colon_MGI_303_v3_barcodes.tsv.gz	33538	33538	10080	10080	11382990	1	TRUE	TRUE
GSM6213989	GSM6213989_Colon_MGI_311_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213989_Colon_MGI_311_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213989_Colon_MGI_311_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213989_Colon_MGI_311_v3_barcodes.tsv.gz	33538	33538	11830	11830	19797402	1	TRUE	TRUE
GSM6213990	GSM6213990_Colon_MGI_312_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213990_Colon_MGI_312_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213990_Colon_MGI_312_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213990_Colon_MGI_312_v3_barcodes.tsv.gz	33538	33538	11441	11441	4960457	1	TRUE	TRUE
GSM6213991	GSM6213991_Colon_MGI_313_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213991_Colon_MGI_313_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213991_Colon_MGI_313_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213991_Colon_MGI_313_v3_barcodes.tsv.gz	33538	33538	4045	4045	11197242	1	TRUE	TRUE
GSM6213992	GSM6213992_Colon_MGI_321_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213992_Colon_MGI_321_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213992_Colon_MGI_321_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213992_Colon_MGI_321_v3_barcodes.tsv.gz	33538	33538	9662	9662	8914559	1	TRUE	TRUE
GSM6213993	GSM6213993_Colon_MGI_322_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213993_Colon_MGI_322_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213993_Colon_MGI_322_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213993_Colon_MGI_322_v3_barcodes.tsv.gz	33538	33538	11307	11307	8987098	1	TRUE	TRUE
GSM6213994	GSM6213994_Colon_MGI_323_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213994_Colon_MGI_323_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213994_Colon_MGI_323_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213994_Colon_MGI_323_v3_barcodes.tsv.gz	33538	33538	13730	13730	15245165	1	TRUE	TRUE
GSM6213995	GSM6213995_Colon_MGI_333_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213995_Colon_MGI_333_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213995_Colon_MGI_333_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213995_Colon_MGI_333_v3_barcodes.tsv.gz	33538	33538	6785	6785	13990234	1	TRUE	TRUE
