geo_accession	sample_stem	matrix_path	features_path	barcodes_path	matrix_n_features	feature_rows	matrix_n_barcodes	barcode_rows	matrix_nnz	metadata_rows	dimension_match	metadata_match
GSM6213956	GSM6213956_Colon_MGI_111_v2	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213956_Colon_MGI_111_v2_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213956_Colon_MGI_111_v2_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213956_Colon_MGI_111_v2_barcodes.tsv.gz	33538	33538	1666	1666	2605543	1	TRUE	TRUE
GSM6213957	GSM6213957_Colon_MGI_112_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213957_Colon_MGI_112_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213957_Colon_MGI_112_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213957_Colon_MGI_112_v3_barcodes.tsv.gz	33538	33538	6548	6548	6964275	1	TRUE	TRUE
GSM6213958	GSM6213958_Colon_MGI_121_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213958_Colon_MGI_121_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213958_Colon_MGI_121_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213958_Colon_MGI_121_v3_barcodes.tsv.gz	33538	33538	7509	7509	12089723	1	TRUE	TRUE
GSM6213959	GSM6213959_Colon_MGI_122_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213959_Colon_MGI_122_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213959_Colon_MGI_122_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213959_Colon_MGI_122_v3_barcodes.tsv.gz	33538	33538	7755	7755	11661050	1	TRUE	TRUE
GSM6213960	GSM6213960_Colon_MGI_141_v2	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213960_Colon_MGI_141_v2_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213960_Colon_MGI_141_v2_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213960_Colon_MGI_141_v2_barcodes.tsv.gz	33538	33538	8118	8118	9619645	1	TRUE	TRUE
GSM6213961	GSM6213961_Colon_MGI_151_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213961_Colon_MGI_151_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213961_Colon_MGI_151_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213961_Colon_MGI_151_v3_barcodes.tsv.gz	33538	33538	15760	15760	20958500	1	TRUE	TRUE
GSM6213962	GSM6213962_Colon_MGI_152_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213962_Colon_MGI_152_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213962_Colon_MGI_152_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213962_Colon_MGI_152_v3_barcodes.tsv.gz	33538	33538	16410	16410	19330471	1	TRUE	TRUE
GSM6213963	GSM6213963_Colon_171_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213963_Colon_171_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213963_Colon_171_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213963_Colon_171_v3_barcodes.tsv.gz	33538	33538	8644	8644	3825210	1	TRUE	TRUE
GSM6213964	GSM6213964_Colon_172_v3	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213964_Colon_172_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213964_Colon_172_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213964_Colon_172_v3_barcodes.tsv.gz	33538	33538	9926	9926	6729616	1	TRUE	TRUE
GSM6213965	GSM6213965_Colon_181_v2	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213965_Colon_181_v2_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213965_Colon_181_v2_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213965_Colon_181_v2_barcodes.tsv.gz	33538	33538	7681	7681	12505021	1	TRUE	TRUE
