compartment_sheet	cluster	rank	gene	gene_source	avg_log2FC	pvalue	p_val_adj	pct_exp_in_cluster	pct_exp_in_other_cluster	source_title	source_file	source_sha256
B cell markers	Bfoc	1	RGS13	"RGS13"	2.83086649982408	0	0	0.727	0.019	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	2	MARCKSL1	"MARCKSL1"	2.78384090432207	0	0	0.882	0.286	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	3	ACTG1	"ACTG1"	2.27579933659811	0	0	0.993	0.823	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	4	LMO2	"LMO2"	2.18617505171616	0	0	0.58	0.042	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	5	NEIL1	"NEIL1"	2.16850942573178	0	0	0.693	0.097	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	6	LRMP	"LRMP"	2.10382502593466	0	0	0.725	0.136	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	7	GAPDH	"GAPDH"	2.09373150174971	0	0	0.96	0.729	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	8	SUGCT	"SUGCT"	2.09246690096593	0	0	0.472	0.004	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	9	HMGN1	"HMGN1"	2.05897602167909	0	0	0.933	0.554	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	10	BASP1	"BASP1"	1.9538887254119	0	0	0.899	0.436	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	11	LPP	"LPP"	1.94106920373351	0	0	0.566	0.092	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	12	CCDC88A	"CCDC88A"	1.86502617288048	0	0	0.637	0.129	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	13	SERPINA9	"SERPINA9"	1.77673203940579	0	0	0.493	0.005	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	14	HMCES	"HMCES"	1.7638724729456	0	0	0.546	0.074	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	15	SERF2	"SERF2"	1.71582024691499	0	0	0.976	0.868	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	16	SLC25A5	"SLC25A5"	1.67385407982134	0	0	0.812	0.393	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	17	ISG20	"ISG20"	1.63227866376169	0	0	0.775	0.469	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	18	ATP5MG	"ATP5MG"	1.62655135022991	0	0	0.915	0.642	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
