dataset_id	dataset_label	spearman_rho	p_value	spots
10x_GBM	10x GBM	0.568594053301822	0	10878
GSE274103_PDAC	GSE274103 PDAC	0.222422516105431	1.66105695894019e-47	4134
10x_CRC	10x Colorectal cancer	0.612900497126217	0	9080
