part_index	part_file	bytes	sha256
0	set2_TNBC_standard_myeloid.rds.part000	20971520	bae93955a6abcf003a482450153b0c7446250468f44007780577834e73ad47a9
1	set2_TNBC_standard_myeloid.rds.part001	20971520	361dc4b7d5964168dfb735e4fc7089ef47183ea4d4cdc0492f8247d966fdf9c2
2	set2_TNBC_standard_myeloid.rds.part002	20971520	19f082376e422408a351a5b3a3589e9621fd17f3cbba949c45e8089f75c70bd7
3	set2_TNBC_standard_myeloid.rds.part003	19229793	cb1e48161a91f4f4d4f68f06974f7742f3d60cecd18600393ba5c53acff941e7
